,Año,Trimestre,Provincia,Mbps (Media de bajada)
495,2018,4,Río Negro,10.49
496,2018,4,Salta,10.46
497,2018,4,San Juan,5.72
498,2018,4,San Luis,8.82
499,2018,4,Santa Cruz,5.12
500,2018,4,Santa Fe,13.18
501,2018,4,Santiago Del Estero,6.31
502,2018,4,Tierra Del Fuego,7.44
503,2018,4,Tucumán,16.58
504,2018,3,Buenos Aires,16.78
505,2018,3,Capital Federal,21.64
506,2018,3,Catamarca,7.81
507,2018,3,Chaco,12.89
508,2018,3,Chubut,6.08
509,2018,3,Córdoba,14.82
510,2018,3,Corrientes,11.49
511,2018,3,Entre Ríos,10.52
512,2018,3,Formosa,9.32
513,2018,3,Jujuy,7.67
514,2018,3,La Pampa,4.28
515,2018,3,La Rioja,6.16
516,2018,3,Mendoza,5.79
517,2018,3,Misiones,12.49
518,2018,3,Neuquén,14.67
519,2018,3,Río Negro,10.06
520,2018,3,Salta,9.27
521,2018,3,San Juan,5.74
522,2018,3,San Luis,8.81
523,2018,3,Santa Cruz,5.37
524,2018,3,Santa Fe,12.36
525,2018,3,Santiago Del Estero,5.78
526,2018,3,Tierra Del Fuego,5.99
527,2018,3,Tucumán,15.26
528,2018,2,Buenos Aires,14.68
529,2018,2,Capital Federal,18.94
530,2018,2,Catamarca,7.69
531,2018,2,Chaco,12.5
532,2018,2,Chubut,5.33
533,2018,2,Córdoba,13.88
534,2018,2,Corrientes,10.88
535,2018,2,Entre Ríos,10.19
536,2018,2,Formosa,8.97
537,2018,2,Jujuy,6.29
538,2018,2,La Pampa,4.1
539,2018,2,La Rioja,5.59
540,2018,2,Mendoza,5.88
541,2018,2,Misiones,11.76
542,2018,2,Neuquén,13.37
543,2018,2,Río Negro,9.51
544,2018,2,Salta,8.93
545,2018,2,San Juan,5.85
546,2018,2,San Luis,5.9
547,2018,2,Santa Cruz,5.19
548,2018,2,Santa Fe,11.75
549,2018,2,Santiago Del Estero,5.91
550,2018,2,Tierra Del Fuego,5.94
551,2018,2,Tucumán,13.51
552,2018,1,Buenos Aires,14.2
553,2018,1,Capital Federal,17.75
554,2018,1,Catamarca,8.2
555,2018,1,Chaco,12.44
556,2018,1,Chubut,5.42
557,2018,1,Córdoba,12.79
558,2018,1,Corrientes,11.12
559,2018,1,Entre Ríos,9.88
560,2018,1,Formosa,11.06
561,2018,1,Jujuy,6.74
562,2018,1,La Pampa,4.0
563,2018,1,La Rioja,5.89
564,2018,1,Mendoza,5.88
565,2018,1,Misiones,12.08
566,2018,1,Neuquén,11.96
567,2018,1,Río Negro,8.98
568,2018,1,Salta,9.19
569,2018,1,San Juan,5.85
570,2018,1,San Luis,5.89
571,2018,1,Santa Cruz,5.19
572,2018,1,Santa Fe,11.17
573,2018,1,Santiago Del Estero,6.25
574,2018,1,Tierra Del Fuego,5.77
575,2018,1,Tucumán,9.36
576,2017,4,Buenos Aires,12.97
577,2017,4,Capital Federal,15.2
578,2017,4,Catamarca,7.78
579,2017,4,Chaco,11.7
580,2017,4,Chubut,5.41
581,2017,4,Córdoba,11.64
582,2017,4,Corrientes,10.38
583,2017,4,Entre Ríos,9.3
584,2017,4,Formosa,10.11
585,2017,4,Jujuy,6.64
586,2017,4,La Pampa,3.98
587,2017,4,La Rioja,5.88
588,2017,4,Mendoza,5.71
589,2017,4,Misiones,11.32
590,2017,4,Neuquén,10.72
591,2017,4,Río Negro,8.05
592,2017,4,Salta,8.45
593,2017,4,San Juan,5.83
594,2017,4,San Luis,5.73
595,2017,4,Santa Cruz,5.21
596,2017,4,Santa Fe,10.3
597,2017,4,Santiago Del Estero,6.17
598,2017,4,Tierra Del Fuego,5.2
599,2017,4,Tucumán,9.11
600,2017,3,Buenos Aires,8.43
601,2017,3,Capital Federal,10.64
602,2017,3,Catamarca,5.26
603,2017,3,Chaco,8.48
604,2017,3,Chubut,3.48
605,2017,3,Córdoba,9.12
606,2017,3,Corrientes,7.45
607,2017,3,Entre Ríos,6.99
608,2017,3,Formosa,7.07
609,2017,3,Jujuy,4.69
610,2017,3,La Pampa,3.44
611,2017,3,La Rioja,5.01
612,2017,3,Mendoza,3.51
613,2017,3,Misiones,8.43
